Sexo;Comunidades;Edad;Periodo;Total
Ambos sexos;07 Castilla y LeÛn;Total;2014T2;21,17
Ambos sexos;07 Castilla y LeÛn;Total;2014T1;22,21
Ambos sexos;07 Castilla y LeÛn;Total;2013T4;22,02
Ambos sexos;07 Castilla y LeÛn;Total;2013T3;20,91
Ambos sexos;07 Castilla y LeÛn;Total;2013T2;21,34
Ambos sexos;07 Castilla y LeÛn;Total;2013T1;22,72
Ambos sexos;07 Castilla y LeÛn;Total;2012T4;20,74
Ambos sexos;07 Castilla y LeÛn;Total;2012T3;19,23
Ambos sexos;07 Castilla y LeÛn;Total;2012T2;19,82
Ambos sexos;07 Castilla y LeÛn;Total;2012T1;19,41
Ambos sexos;07 Castilla y LeÛn;Total;2011T4;17,21
Ambos sexos;07 Castilla y LeÛn;Total;2011T3;16,24
Ambos sexos;07 Castilla y LeÛn;Total;2011T2;16,51
Ambos sexos;07 Castilla y LeÛn;Total;2011T1;17,51
Ambos sexos;07 Castilla y LeÛn;Total;2010T4;15,78
Ambos sexos;07 Castilla y LeÛn;Total;2010T3;15,2
Ambos sexos;07 Castilla y LeÛn;Total;2010T2;16,38
Ambos sexos;07 Castilla y LeÛn;Total;2010T1;15,83
Ambos sexos;07 Castilla y LeÛn;Total;2009T4;14,21
Ambos sexos;07 Castilla y LeÛn;Total;2009T3;13,17
Ambos sexos;07 Castilla y LeÛn;Total;2009T2;14,4
Ambos sexos;07 Castilla y LeÛn;Total;2009T1;14,12
Ambos sexos;08 Castilla - La Mancha;Total;2020T1;18,11
Ambos sexos;08 Castilla - La Mancha;Total;2019T4;16,56
Ambos sexos;08 Castilla - La Mancha;Total;2019T3;16,1
Ambos sexos;08 Castilla - La Mancha;Total;2019T2;16,42
Ambos sexos;08 Castilla - La Mancha;Total;2019T1;15,74
Ambos sexos;08 Castilla - La Mancha;Total;2018T4;16,16
Ambos sexos;08 Castilla - La Mancha;Total;2018T3;16,71
Ambos sexos;08 Castilla - La Mancha;Total;2018T2;19,11
Ambos sexos;08 Castilla - La Mancha;Total;2018T1;20,68
Ambos sexos;08 Castilla - La Mancha;Total;2017T4;19,74
Ambos sexos;08 Castilla - La Mancha;Total;2017T3;18,6
Ambos sexos;08 Castilla - La Mancha;Total;2017T2;22,24
Ambos sexos;08 Castilla - La Mancha;Total;2017T1;22,48
Ambos sexos;08 Castilla - La Mancha;Total;2016T4;22,14
Ambos sexos;08 Castilla - La Mancha;Total;2016T3;22,67
Ambos sexos;08 Castilla - La Mancha;Total;2016T2;23,93
Ambos sexos;08 Castilla - La Mancha;Total;2016T1;25,45
Ambos sexos;08 Castilla - La Mancha;Total;2015T4;24,97
Ambos sexos;08 Castilla - La Mancha;Total;2015T3;24,72
Ambos sexos;08 Castilla - La Mancha;Total;2015T2;27
Ambos sexos;08 Castilla - La Mancha;Total;2015T1;28,69
Ambos sexos;08 Castilla - La Mancha;Total;2014T4;28,5
Ambos sexos;08 Castilla - La Mancha;Total;2014T3;28,49
Ambos sexos;08 Castilla - La Mancha;Total;2014T2;28,69
Ambos sexos;08 Castilla - La Mancha;Total;2014T1;30,3
Ambos sexos;08 Castilla - La Mancha;Total;2013T4;28,99
Ambos sexos;08 Castilla - La Mancha;Total;2013T3;29,41
Ambos sexos;08 Castilla - La Mancha;Total;2013T2;30,23
Ambos sexos;08 Castilla - La Mancha;Total;2013T1;31,24
Ambos sexos;08 Castilla - La Mancha;Total;2012T4;30,07
Ambos sexos;08 Castilla - La Mancha;Total;2012T3;27,99
Ambos sexos;08 Castilla - La Mancha;Total;2012T2;28,9
Ambos sexos;08 Castilla - La Mancha;Total;2012T1;27,38
Ambos sexos;08 Castilla - La Mancha;Total;2011T4;24,53
Ambos sexos;08 Castilla - La Mancha;Total;2011T3;22,46
Ambos sexos;08 Castilla - La Mancha;Total;2011T2;23,18
Ambos sexos;08 Castilla - La Mancha;Total;2011T1;22,13
Ambos sexos;08 Castilla - La Mancha;Total;2010T4;21,72
Ambos sexos;08 Castilla - La Mancha;Total;2010T3;20,07
Ambos sexos;08 Castilla - La Mancha;Total;2010T2;21,38
Ambos sexos;08 Castilla - La Mancha;Total;2010T1;21,72
Ambos sexos;08 Castilla - La Mancha;Total;2009T4;19,29
Ambos sexos;08 Castilla - La Mancha;Total;2009T3;18,38
Ambos sexos;08 Castilla - La Mancha;Total;2009T2;19,65
Ambos sexos;08 Castilla - La Mancha;Total;2009T1;18,17
Ambos sexos;09 CataluÒa;Total;2020T1;10,66
Ambos sexos;09 CataluÒa;Total;2019T4;10,45
Ambos sexos;09 CataluÒa;Total;2019T3;10,87
Ambos sexos;09 CataluÒa;Total;2019T2;11,17
Ambos sexos;09 CataluÒa;Total;2019T1;11,64
Ambos sexos;09 CataluÒa;Total;2018T4;11,75
Ambos sexos;09 CataluÒa;Total;2018T3;10,63
Ambos sexos;09 CataluÒa;Total;2018T2;11,39
Ambos sexos;09 CataluÒa;Total;2018T1;12,19
Ambos sexos;09 CataluÒa;Total;2017T4;12,63
Ambos sexos;09 CataluÒa;Total;2017T3;12,54
Ambos sexos;09 CataluÒa;Total;2017T2;13,2
Ambos sexos;09 CataluÒa;Total;2017T1;15,28
Ambos sexos;09 CataluÒa;Total;2016T4;14,85
Ambos sexos;09 CataluÒa;Total;2016T3;14,63
Ambos sexos;09 CataluÒa;Total;2016T2;15,95
Ambos sexos;09 CataluÒa;Total;2016T1;17,42
Ambos sexos;09 CataluÒa;Total;2015T4;17,73
Ambos sexos;09 CataluÒa;Total;2015T3;17,49
Ambos sexos;09 CataluÒa;Total;2015T2;19,1
Ambos sexos;09 CataluÒa;Total;2015T1;20,05
Ambos sexos;09 CataluÒa;Total;2014T4;19,88
Ambos sexos;09 CataluÒa;Total;2014T3;19,1
Ambos sexos;09 CataluÒa;Total;2014T2;20,22
Ambos sexos;09 CataluÒa;Total;2014T1;22,1
Ambos sexos;09 CataluÒa;Total;2013T4;21,87
Ambos sexos;09 CataluÒa;Total;2013T3;22,55
Ambos sexos;09 CataluÒa;Total;2013T2;23,61
Ambos sexos;09 CataluÒa;Total;2013T1;24,45
Ambos sexos;09 CataluÒa;Total;2012T4;23,81
Ambos sexos;09 CataluÒa;Total;2012T3;22,46
Ambos sexos;09 CataluÒa;Total;2012T2;21,79
Ambos sexos;09 CataluÒa;Total;2012T1;22
Ambos sexos;09 CataluÒa;Total;2011T4;20,4
Ambos sexos;09 CataluÒa;Total;2011T3;19,38
Ambos sexos;09 CataluÒa;Total;2011T2;17,93
Ambos sexos;09 CataluÒa;Total;2011T1;18,93
Ambos sexos;09 CataluÒa;Total;2010T4;17,86
Ambos sexos;09 CataluÒa;Total;2010T3;17,31
Ambos sexos;09 CataluÒa;Total;2010T2;17,56
Ambos sexos;09 CataluÒa;Total;2010T1;17,9
Ambos sexos;09 CataluÒa;Total;2009T4;16,9
Ambos sexos;09 CataluÒa;Total;2009T3;15,89
Ambos sexos;09 CataluÒa;Total;2009T2;15,92
Ambos sexos;09 CataluÒa;Total;2009T1;16,16
Ambos sexos;10 Comunitat Valenciana;Total;2020T1;14,39
Ambos sexos;10 Comunitat Valenciana;Total;2019T4;14,13
Ambos sexos;10 Comunitat Valenciana;Total;2019T3;13,91
Ambos sexos;10 Comunitat Valenciana;Total;2019T2;14,3
Ambos sexos;10 Comunitat Valenciana;Total;2019T1;14,11
Ambos sexos;10 Comunitat Valenciana;Total;2018T4;14,3
Ambos sexos;10 Comunitat Valenciana;Total;2018T3;15,29
Ambos sexos;10 Comunitat Valenciana;Total;2018T2;15,64
Ambos sexos;10 Comunitat Valenciana;Total;2018T1;17,13
Ambos sexos;10 Comunitat Valenciana;Total;2017T4;16,76
Ambos sexos;10 Comunitat Valenciana;Total;2017T3;17,5
Ambos sexos;10 Comunitat Valenciana;Total;2017T2;18,68
Ambos sexos;10 Comunitat Valenciana;Total;2017T1;19,77
Ambos sexos;10 Comunitat Valenciana;Total;2016T4;19,15
Ambos sexos;10 Comunitat Valenciana;Total;2016T3;20,17
Ambos sexos;10 Comunitat Valenciana;Total;2016T2;21,3
